quarter, time, brightness, error
2.2,  55039.806094, 0.999715269, 5.3263e-05 
2.2,  55039.826528000005, 0.999635756, 5.3276e-05 
2.2,  55039.846962, 0.999650478, 5.3267e-05 
2.2,  55039.867395, 0.999560297, 5.3244e-05 
2.2,  55039.887829, 0.99979353, 5.3264e-05 
2.2,  55039.908263000005, 0.999723256, 5.3329e-05 
2.2,  55039.928697, 0.999909461, 5.3273e-05 
2.2,  55039.949131, 1.000409842, 5.3294e-05 
2.2,  55039.969565, 1.000642538, 5.3316e-05 
2.2,  55039.989998000005, 1.000688791, 5.3287e-05 
2.2,  55040.010432, 1.000575185, 5.3288e-05 
2.2,  55040.030866, 1.000544429, 5.3233e-05 
2.2,  55040.05130000001, 1.000402808, 5.3266e-05 
2.2,  55040.071734000005, 1.000231862, 5.3244e-05 
2.2,  55040.092167, 0.999932945, 5.3277e-05 
2.2,  55040.112601, 1.000148296, 5.3269e-05 
2.2,  55040.133035000006, 1.000421047, 5.3231e-05 
2.2,  55040.153469000004, 1.000785828, 5.3302e-05 
2.2,  55040.173903, 1.001108885, 5.33e-05 
2.2,  55040.194337, 1.001080513, 5.3254e-05 
2.2,  55040.214770000006, 1.00103879, 5.3283e-05 
2.2,  55040.235204000004, 1.000882745, 5.3236e-05 
2.2,  55040.255638, 1.000614762, 5.329e-05 
2.2,  55040.276072, 1.000618935, 5.3286e-05 
2.2,  55040.296506000006, 1.000575304, 5.3275e-05 
2.2,  55040.316940000004, 1.00059998, 5.3268e-05 
2.2,  55040.337373, 1.000563622, 5.3283e-05 
2.2,  55040.357807, 1.000741243, 5.3277e-05 
2.2,  55040.378241000006, 1.00094986, 5.3263e-05 
2.2,  55040.398675000004, 1.00107789, 5.3286e-05 
2.2,  55040.419109, 1.000910282, 5.3252e-05 
2.2,  55040.439542, 1.000615835, 5.3221e-05 
2.2,  55040.459976000006, 1.000167012, 5.3286e-05 
2.2,  55040.480410000004, 0.999533236, 5.3252e-05 
2.2,  55040.500844, 0.999367356, 5.33e-05 
2.2,  55040.521278, 0.999565721, 5.327e-05 
2.2,  55040.541712000006, 0.999820173, 5.3274e-05 
2.2,  55040.562145, 1.00016582, 5.3265e-05 
2.2,  55040.582579, 1.000196815, 5.3316e-05 
2.2,  55040.603013, 1.000236154, 5.3302e-05 
2.2,  55040.623447000005, 1.0001297, 5.3259e-05 
2.2,  55040.64388, 1.000256538, 5.3297e-05 
2.2,  55040.664314, 1.000108004, 5.3305e-05 
2.2,  55040.684748, 0.999996006, 5.32e-05 
2.2,  55040.705182000005, 0.999896944, 5.3321e-05 
2.2,  55040.725616, 0.999672532, 5.3313e-05 
2.2,  55040.74605, 0.999631107, 5.3274e-05 
2.2,  55040.766483, 0.999733686, 5.3287e-05 
2.2,  55040.786917000005, 1.000024557, 5.323e-05 
2.2,  55040.807351, 1.000338316, 5.3245e-05 
2.2,  55040.827785, 1.000663996, 5.3248e-05 
2.2,  55040.848219, 1.000257254, 5.3247e-05 
2.2,  55040.868652000005, 0.999819815, 5.3315e-05 
2.2,  55040.889086, 0.999408424, 5.3175e-05 
2.2,  55040.90952, 0.999145806, 5.3214e-05 
2.2,  55040.92995400001, 0.999437451, 5.3259e-05 
2.2,  55040.950388000005, 0.999979436, 5.326e-05 
2.2,  55040.970822, 1.000316739, 5.3272e-05 
2.2,  55040.991255, 1.000548124, 5.3213e-05 
2.2,  55041.011689000006, 1.000743747, 5.3234e-05 
2.2,  55041.032123000005, 1.000678778, 5.3263e-05 
2.2,  55041.052557, 1.000356436, 5.3218e-05 
2.2,  55041.07299, 0.999750614, 5.3241e-05 
2.2,  55041.093424000006, 0.999360502, 5.3239e-05 
2.2,  55041.113858000004, 0.999390841, 5.3248e-05 
2.2,  55041.134292, 0.999643624, 5.3254e-05 
2.2,  55041.154726, 0.999940753, 5.3267e-05 
2.2,  55041.175160000006, 1.000339985, 5.3235e-05 
2.2,  55041.195593000004, 1.000904679, 5.3267e-05 
2.2,  55041.216027, 1.000926018, 5.3193e-05 
2.2,  55041.236461, 1.000825405, 5.3223e-05 
2.2,  55041.256895000006, 1.00050509, 5.3263e-05 
2.2,  55041.277329000004, 0.999895155, 5.3298e-05 
2.2,  55041.297762, 0.999863803, 5.3228e-05 
2.2,  55041.318196, 1.000287533, 5.3234e-05 
2.2,  55041.338630000006, 1.000303388, 5.3227e-05 
2.2,  55041.359064000004, 1.000600815, 5.3271e-05 
2.2,  55041.379498, 1.00045085, 5.3263e-05 
2.2,  55041.399931, 1.000303149, 5.3294e-05 
2.2,  55041.420365000005, 1.000094175, 5.3277e-05 
2.2,  55041.440799, 0.99986285, 5.3233e-05 
2.2,  55041.461233, 0.999759316, 5.3256e-05 
2.2,  55041.481667, 1.000271916, 5.3264e-05 
2.2,  55041.502100000005, 1.000531554, 5.3234e-05 
2.2,  55041.522534, 1.000747561, 5.3284e-05 
2.2,  55041.542968, 1.000863671, 5.323e-05 
2.2,  55041.563402, 1.000791669, 5.3262e-05 
2.2,  55041.583836000005, 1.000458956, 5.3244e-05 
2.2,  55041.604269, 1.000234485, 5.3243e-05 
2.2,  55041.624703, 0.999825895, 5.3259e-05 
2.2,  55041.645137, 0.999746144, 5.3218e-05 
2.2,  55041.665571000005, 0.999613762, 5.3271e-05 
2.2,  55041.686005, 0.999498427, 5.3264e-05 
2.2,  55041.706438, 0.999818146, 5.3265e-05 
2.2,  55041.726872, 0.999957085, 5.3252e-05 
2.2,  55041.747306000005, 0.999988914, 5.3147e-05 
2.2,  55041.76774, 1.000122428, 5.3207e-05 
2.2,  55041.788174, 0.999867976, 5.3247e-05 
2.2,  55041.808607000006, 0.999627352, 5.3276e-05 
2.2,  55041.829041000005, 0.999492228, 5.3253e-05 
2.2,  55041.849475, 0.999402225, 5.3265e-05 
2.2,  55041.869909, 0.999740839, 5.3247e-05 
2.2,  55041.89034300001, 0.999935329, 5.3237e-05 
2.2,  55041.910776000004, 0.999888897, 5.3238e-05 
2.2,  55041.93121, 0.999942064, 5.3244e-05 
2.2,  55041.951644, 1.000016809, 5.3209e-05 
2.2,  55041.992511000004, 0.999647975, 5.3244e-05 
2.2,  55042.012945, 0.999318182, 5.3236e-05 
2.2,  55042.033379, 0.999273062, 5.3242e-05 
2.2,  55042.053813000006, 0.999100804, 5.3257e-05 
2.2,  55042.074247000004, 0.999287426, 5.3251e-05 
2.2,  55042.09468, 0.999661505, 5.3217e-05 
2.2,  55042.115114, 0.999067366, 5.2892e-05 
2.2,  55042.135548000006, 0.998494506, 5.2519e-05 
2.2,  55042.155982000004, 0.999604821, 5.1609e-05 
2.2,  55042.176416, 0.998720944, 5.2862e-05 
2.2,  55042.196849, 0.99977386, 5.323e-05 
2.2,  55042.217283000005, 0.99981159, 5.3185e-05 
2.2,  55042.237717, 1.000209808, 5.2963e-05 
2.2,  55042.258151, 1.000574589, 5.3202e-05 
2.2,  55042.278585, 1.000605226, 5.3294e-05 
2.2,  55042.299018000005, 1.000714779, 5.3214e-05 
2.2,  55042.319452, 1.000584245, 5.3229e-05 
2.2,  55042.339886, 1.000551462, 5.3204e-05 
2.2,  55042.36032, 1.000440359, 5.323e-05 
2.2,  55042.380753000005, 1.000463724, 5.3257e-05 
2.2,  55042.401187, 1.000465393, 5.3269e-05 
2.2,  55042.421621, 1.000222564, 5.3198e-05 
2.2,  55042.442055, 1.000105619, 5.3272e-05 
2.2,  55042.462489000005, 0.999946773, 5.3249e-05 
2.2,  55042.482922, 0.999770582, 5.3296e-05 
2.2,  55042.503356, 0.999829113, 5.3293e-05 
2.2,  55042.52379, 1.000138402, 5.3278e-05 
2.2,  55042.544224000005, 1.000816822, 5.3304e-05 
2.2,  55042.564658, 1.001206398, 5.3278e-05 
2.2,  55042.585091, 1.001636267, 5.3312e-05 
2.2,  55042.605525000006, 1.001838326, 5.3174e-05 
2.2,  55042.625959000005, 1.00180316, 5.3269e-05 
2.2,  55042.646393, 1.001263142, 5.3247e-05 
2.2,  55042.666826, 1.000925779, 5.3217e-05 
2.2,  55042.687260000006, 1.000458598, 5.3245e-05 
2.2,  55042.707694000004, 1.000404, 5.3243e-05 
2.2,  55042.728128, 1.000208497, 5.326e-05 
